Mom ID,i1,i65,i88,i3,i11,i77,i31,i14,i27,i60,i11,i11,i2,i9,i12,i67,i71,i10,i97,i16,i9,i12,i11,i22,i102,i65,i32,i4,i11,i8,i13,i12,i11,i92,i17,i8,i1,i63,i3,i68,i102,i11,i24,i21,i29,i33,i3,i1,i16,i4,i86,i1656,i1674,i1665,i1660,i2280,i45,i2281,i2282,i98,i86,i2283,i82,i1675,i37,i2284,i1674,i2285,i2286,i666,i2285,i48,i1656,i2287,i48,i2288,i2289,i1665,i46,i45,i2290,i31,i2291,i82,i2288
Birth date,38505,38573,38577,38505,38519,38527,38579,38505,38505,38547,38551,38565,38507,38511,38517,38573,38579,38507,38533,38507,38511,38517,38537,38507,38527,38547,38567,38509,38565,38509,38517,38511,38547,38565,38511,38515,38549,38515,38547,38517,38539,38565,38519,38527,38519,38549,38527,38527,38521,38527,38605,38655,38663,38647,38671,38681,38595,38629,38681,38597,38619,38647,38585,38667,38593,38607,38621,38597,38683,38637,38597,38609,38655,38671,38581,38593,38639,38631,38587,38585,38621,38585,38597,38585,38607
ID,i60,i61,i62,i63,i64,i65,i66,i67,i68,i69,i70,i71,i72,i73,i74,i75,i76,i77,i78,i79,i80,i81,i82,i83,i84,i85,i86,i87,i88,i89,i90,i91,i92,i93,i94,i95,i96,i97,i98,i99,i100,i101,i102,i103,i104,i105,i106,i107,i108,i109,i1649,i1650,i1651,i1652,i1653,i1654,i1655,i1656,i1657,i1658,i1659,i1660,i1661,i1662,i1663,i1664,i1665,i1666,i1667,i1668,i1669,i1670,i1671,i1672,i1673,i1674,i1675,i1676,i1677,i1678,i1679,i1680,i1681,i1682,i1683
Vial,AA1,AA1,aa1,aa2,aa2,aa2,aa2,aa3,aa4,aa4,aa4,aa4,aa5,aa5,aa5,aa5,aa5,aa6,aa6,aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa10,aa10,aa11,aa11,aa11,aa12,aa12,aa12,aa13,aa13 (part of aa19),aa14,aa14,aa14,aa15,aa15 (aa20),aa16,aa16,aa16 (part of aa18),aa17,aa18,aa19,aa1,aa1,aa1,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa4,aa5,aa5,aa6,aa6,aa6,aa7,aa7,aa8,aa9,aa9,aa9,aa9,aa10,aa10,aa10,aa11,aa12,aa14,aa14,aa15,aa15,aa16,aa16
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,,0,2,,0,0,0,0,,,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,,0,2,,2,2,0,0,,,0,,,0,,,0,0,,,0,3,0,0,3,0,0,0,,0,0,0,0,,4,0,0,4,3,0,0,2,2,2,0,0,3,,2,0,,2,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0
9,0,,0,5,,5,2,0,0,,,2,,,0,,,0,0,,,2,3,2,0,5,0,0,0,,2,0,2,0,,4,0,0,4,3,2,5,5,2,2,0,0,3,,2,0,,2,0,,,2,0,,0,0,0,2,0,0,,0,0,,2,,0,0,2,,2,0,0,2,5,0,,0,4,0
11,2,,2,5,,5,5,0,2,,,2,,,1,,,0,1,,,2,6,7,4,5,3,0,3,,2,0,4,0,,6,0,3,6,7,2,5,5,4,5,0,0,5,,4,2,,3,2,,,4,1,,0,0,0,2,3,0,,0,3,,2,,2,2,2,,2,0,,3,5,0,,2,4,2
