Mom ID,i1955,i2043,i2043,i1954,i546,i1925,i1946,i1923,i1925,i547,i556,i1946,i566,i564,i1923,i1958,i547,i583,i1923,i1970,i1914,i1923,i2044,i2046,i2043,i2046,i2043,i583,i583,i1923,i2052,i1950,i1972,i1939,i1941,i1939,i556,i1956,i1923,i1956,i2046,i2045,i1945,i1954,i2055,i2047,i575,i1954,i1956,i1954,i570,i1956,i583,i1986,i1949,i2048,i1959,i1957,i1934,i1937,questionable mom? (a3-8/24/09),i2049,i1930,i2050,i1916,i1969,i1940,i2051,i1943,i1995,i1952,i1954,i2002,i2053,i2054,i1933
Birthdate,38497,38513,38523,38575,38579,38497,38533,38579,38497,38523,38533,38539,38543,38555,38579,38501,38529,38535,38539,38579,38507,38545,38561,38511,38517,38535,38517,38529,38535,38545,38513,38519,38515,38529,38515,38529,38533,38539,38545,38551,38519,38579,38517,38545,38517,38517,38533,38545,38529,38545,38523,38529,38535,38589,38593,38601,38643,38675,38653,38627,38589,38619,38613,38629,38601,38661,38621,38661,38681,38685,38567,38579,38665,38685,38631,38589
ID,i644,i645,i646,i647,i648,i649,i650,i651,i652,i653,i654,i655,i656,i657,i658,i659,i660,i661,i662,i663,i664,i665,i666,i667,i668,i669,i670,i671,i672,i673,i674,i675,i676,i677,i678,i679,i680,i681,i682,i683,i684,i685,i686,i687,i688,i689,i690,i691,i692,i693,i694,i695,i696,i2107,i2108,i2109,i2110,i2111,i2112,i2113,i2114,i2115,i2116,i2117,i2118,i2119,i2120,i2121,i2122,i2123,i2124,i2125,i2126,i2127,i2128,i2129
Vial,C1,c1,c1,c1,c1,c2,c2 (c17),c2,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4 (part of c16),c4,c5,c5,c5,c6,c6,c6 (c18),c7,c7,c7,c7,c8,c8,c9,c9,c10,c10,c10,c10,c10,c10,c10 (c14),c10,c11,c11,c12,c13,c13,c13,c15,c15,c16,c16,c16,c1,c1,c1,c1,c1,c2,c3,c4,c4,c5,c5,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,,0,0
5,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,,,,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,,,0,0
7,0,0,0,,,0,0,0,0,,,,0,0,0,0,,0,0,,0,,0,,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,0,3,,,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,0,0
9,0,,0,,,0,0,0,0,,,,0,0,0,0,,0,0,,0,,0,,0,3,,,,0,,0,,3,4,,,,,,1,,0,0,2,3,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,0,,,0,0
11,3,,1,,,2,0,0,5,,,,0,0,0,0,,0,0,,2,,0,,0,3,,,,0,,0,,3,4,,,,,,1,,0,0,2,3,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,1,,,0,
