Mom ID,i3541,i3526,i948,i924,i948,i926,i3502,i3504,i3513,i3543,i952,i946,i3505,i3513,i3502,i3526,i3518,i3503,i925,i3520,i3502,i3524,i931,i3523,i3505,i3539,i3503,i936,i3544,i3527,i3501,i3545,i3527,i3502,i3530,i915,i3513,i3501,i3615,i3528,i3617,i3532,i3542,i3507,i3529,i3534,i3532,i941,i3536,i938
Birthdate,38503,38527,38537,38543,38547,38569,38513,38519,38545,38529,38533,38537,38581,38515,38521,38569,38511,38541,38525,38545,38543,38517,38537,38543,38571,38517,38525,38531,38517,38533,38519,38525,38533,38527,38527,38523,38529,38535,38609,38635,38649,38655,38659,38619,38661,38667,38665,38585,38667,38589
ID,i1037,i1038,i1039,i1040,i1041,i1042,i1043,i1044,i1045,i1046,i1047,i1048,i1049,i1050,i1051,i1052,i1053,i1054,i1055,i1056,i1057,i1058,i1059,i1060,i1061,i1062,i1063,i1064,i1065,i1066,i1067,i1068,i1069,i1070,i1072,i1073,i1074,i1075,i3689,i3690,i3691,i3692,i3693,i3694,i3695,i3696,i3697,i3698,i3699,i3700
Vial,d1,d1,d1,d1,d1,d1,d2,d2,d2,d3,d3,d3,d3,d4,d4,d4,d5,d5 (d16),d6 (d15),d7,d7 (d14),d8,d8,d8,d8,d9,d9,d9,d10,d10,d11,d11,d11,d12,d13,d14,d16,d18,d1,d1,d1,d1,d2,d3,d3,d3,d4,d5,d5,d7
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1.000,0,,,,,,,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
3.000,0,,,,,,,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
5.000,0,,,,,,,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
7.000,0,,,,,,,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
9.000,0,,,,,,,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
11.000,0,,,,,,,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
13.000,0,,,,,,,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,
15.000,1,,,,,,,,,,,,0,,0,,,,,,0,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
17.000,1,,,,,,,,,,,,0,,0,,,,,,0,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
19.000,,,,,,,,,,,,,0,,0,,,,,,0,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
21.000,,,,,,,,,,,,,1,,0,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
23.000,,,,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
25.000,,,,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,
27.000,,,,,,,,,,,,,1,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,
29.000,,,,,,,,,,,,,1,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
31.000,,,,,,,,,,,,,1,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
33.000,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.000,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.000,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.000,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.000,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.000,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.000,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.000,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
